Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	max_slope2	CROWDSAP
8	114858879	2	TESS-SPOC	1800	5.19049978	736.294189453125	0.0731695304585456	1.1082037249474603e-137	8.90348849404167	-1.2533605625805535	2.351674755497667	5.230250017410622	Aisladas	2	1	1	-13.174488	-1.7722923	1	3.673238476631047	8.63826219641594	6.892080742217193	-2.2841502	-8.39022841	0.99966502
8	114858879	69	TESS-SPOC	200	5.19049978	1512.628662109375	0.1483578552698489	0.0	9.89224723403677	-1.0984621292169807	1.9320858895789064	5.790427970224148	Aisladas	2	2	1	-13.174488	-1.7722923	1	4.101819263812621	7.925067121215304	7.2146930790090575	-1.89802278	-7.7853464	0.99963856
9	24350903	42	SPOC	120	2.4698	445.7608947753906	0.2656882101495193	2.4502078020730442e-244	7.463392990662585	-2.2028209954935765	1.97575397209964	4.082903946296979	Aisladas	2	2	1	-999.0	-999.0	0	3.3804890443656053	6.679014657044661	3.032027872763272	-1.89674857	-6.41193776	0.99965674
9	24350903	55	SPOC	120	2.4698	900.7815551757812	0.1380647697183341	0.0	9.613157750451368	-1.181879354403902	1.854679632181764	4.752884177719472	Aisladas	2	2	1	-999.0	-999.0	0	4.860273572731896	9.01425040217714	7.627047861178358	-1.84095347	-8.94753751	0.9900285
9	24350903	82	SPOC	120	2.4698	446.1798706054688	0.1334487713748715	0.0	7.958985536948213	-1.1371697538801973	1.6300588647311398	4.899051861620796	Aisladas	2	2	1	-999.0	-999.0	0	3.059933675327417	4.987872012956793	4.386215862616298	-1.5366366	-4.70200608	0.98976362
9	24350903	42	TESS-SPOC	600	2.4698	524.1663818359375	0.0742058543148318	4.7405237026845384e-36	7.241312507789496	-2.0224647551721286	2.418459902733055	4.344846431214363	Aisladas	2	0	1	-999.0	-999.0	0	2.896466076575133	7.00498706582349	3.463589191311918	-2.25216959	-6.52333282	0.99961931
9	24350903	55	TESS-SPOC	600	2.4698	536.245361328125	0.2504983536932856	6.550909923809372e-169	8.844801287600633	-1.48523843319922	2.0629386408786847	4.494103766914058	Aisladas	2	0	1	-999.0	-999.0	0	4.350697520686575	8.975222030199426	6.042950296449506	-2.03556911	-8.85614549	0.98998505
10	147795605	60	TESS-SPOC	200	7.70230007	445.1215515136719	0.0901347160421012	0.0	10.135967777876893	-1.37860445917148	2.237683063600703	5.502054139015867	Aisladas	2	0	1	-8.419015	-3.1362028	1	4.633913638861026	10.369230067867624	7.521541076473356	-2.21621571	-10.26975221	0.9679845
11	293340820	42	SPOC	120	2.25740004	817.0387573242188	0.1221247343675182	0.0	8.71094584533712	-1.6268990000929051	1.782253849517624	3.7587333475254168	Aisladas	2	1	1	-999.0	-999.0	0	4.952212497811703	8.826099787854195	5.425106160462435	-1.77038408	-8.76731817	0.99936992
11	293340820	70	SPOC	120	2.25740004	873.7360229492188	0.0700564349113856	0.0	9.552307797594883	-1.5294219371590845	1.896991129794306	5.075798364228756	Aisladas	2	0	1	-999.0	-999.0	0	4.476509433366127	8.491898687536079	5.552358365742981	-1.87519741	-8.39433888	0.99935037
11	293340820	42	TESS-SPOC	600	2.25740004	1706.0762939453125	0.3089301441441491	1.1779021626133667e-101	8.852376362020578	-1.490925712224279	2.280179439714542	4.699608592779817	Aisladas	2	0	1	-999.0	-999.0	0	4.152767769240762	9.469055685332007	6.351125081346498	-2.24225033	-9.31154489	0.99934042
11	293340820	70	TESS-SPOC	200	2.25740004	879.3621215820312	0.0806064388173055	0.0	10.417536670922932	-1.4333531815656086	2.1614900779536117	6.15194183417784	Aisladas	2	0	1	-999.0	-999.0	0	4.265594836745092	9.220040916194671	6.432497611038124	-2.1298828	-9.08521709	0.99931085
12	58872758	70	TESS-SPOC	200	6.60710001	357.6072998046875	0.0575811712747521	0.0	9.709521986438268	-1.329689270789093	2.192614646495399	4.945822599789329	Aisladas	2	1	1	-12.043224	-1.2776724	1	4.763699386648939	10.444957046667612	7.855186377843855	-2.17448706	-10.3586027	0.99631149
13	310965017	14	SPOC	120	3.85619998	864.4906005859375	0.1117316865014326	0.0	9.009814484441284	-1.6189313755980668	1.9217091672999704	4.529629635325092	Aisladas	2	0	1	-999.0	-999.0	0	4.480184849116192	8.609612295745022	5.318083536780213	-1.89972416	-8.51111539	0.99978977
13	310965017	21	SPOC	120	3.85619998	455.8264465332031	0.0694880357229443	0.0	8.68584724737084	-1.90054615347799	2.2221689572339294	4.853433729242772	Aisladas	2	2	1	-999.0	-999.0	0	3.8324135181280674	8.516270351267861	4.480959505078648	-2.16891728	-8.31218791	0.9998889
