Name	TIC_ID	Sector	Author	Exptime	Magnitude	RMS	Max_freq	Max_FAP	log(Alpha)	log(Tau)	Gamma	log(Bias)	Type	TypeColor	bump	lc_q	T-NUV	D(UV)	binarity_filter	A-B	Gamma2	Gamma_Tau	max_slope	Unnamed: 24	CROWDSAP
2_UV_Aur	2688613	44	SPOC	120	6.38730001	650.6346435546875	0.0948491955217626	0.0	8.765594281781087	-1.5101462644917083	1.9247725764211905	4.491632543780474	Merc	1	0	1	-999.0	-999.0	0	4.273961738000613	8.22640434597703	5.447422239425205	-1.89689465	-8.10725516	0.96992743
2_UV_Aur	2688613	45	TESS-SPOC	600	6.38730001	5992.9423828125	0.3035534792830812	9.701531602532588e-213	9.975627312039894	-1.5754664129060474	2.092289773888208	5.7696949842959615	Merc	1	0	1	-999.0	-999.0	0	4.205932327743932	8.800029199004454	5.585666014150212	-2.05953614	-8.66226964	0.97049659
2_UV_Aur	2688613	44	TESS-SPOC	600	6.38730001	855.2886962890625	0.3094326499484219	1.9667007696465968e-176	8.473706413780391	-1.5195493063771135	2.1156493640446565	4.36928639392564	Merc	1	0	1	-999.0	-999.0	0	4.104420019854752	8.683513604777863	5.714532307925541	-2.07846052	-8.53087495	0.96889472
2_UV_Aur	2688613	43	TESS-SPOC	600	6.38730001	856.0662841796875	0.2283867328258131	7.512181478337338e-152	8.087506762543686	-1.7514736814886525	2.0702292885571763	4.271224315173768	Merc	1	0	1	-999.0	-999.0	0	3.816282447369918	7.9005796959518655	4.510818392222043	-2.0197002	-7.70774643	0.97087139
2_UV_Aur	2688613	59	TESS-SPOC	200	6.38730001	3312.267578125	0.0631748775054754	0.0	9.975605096037077	-1.4911596665813145	1.9436116326984223	5.217046599233987	Merc	1	0	1	-999.0	-999.0	0	4.75855849680309	9.248789649262404	6.202414038240792	-1.92744771	-9.17187267	0.96991861
2_UV_Aur	2688613	71	TESS-SPOC	200	6.38730001	1324.0430908203125	0.0787057277448749	0.0	11.072488735302215	-1.4036602399201294	2.1485028052578885	6.558155848540713	Merc	1	0	1	-999.0	-999.0	0	4.514332886761504	9.699056871075031	6.909832305021994	-2.12486554	-9.59235038	0.97036439
2_PN_MaC_1-17	7064267	80	SPOC	20	16.67760086	891164.0	0.3421621295954715	0.0	14.56827562106598	-1.4399713932285063	2.5280041423578186	11.654528687659807	Merc	1	0	1	-999.0	-999.0	0	2.913746933406172	7.365964317433193	5.115354618898531	-2.35748623	-6.86911828	0.01332062
2_PN_MaC_1-17	7064267	80	SPOC	120	16.67760086	375006.71875	0.1285560993402563	2.1940828788566627e-267	12.991378717915415	-1.3693551681232348	2.240681668633703	10.90987197807944	Merc	1	0	1	-999.0	-999.0	0	2.0815067398359783	4.663993995087979	3.405978305453216	-1.86814268	-3.88855159	0.01332062
2_Hen_3-1213	26292371	66	TESS-SPOC	200	9.82540035	1074.4361572265625	0.394180116689159	3.4025931284176906e-199	8.355864254417607	-1.572223001854003	2.3999628094970173	5.750867836718641	Merc	1	0	1	-999.0	-999.0	0	2.604996417698966	6.251894521350476	3.976468041733323	-2.17239868	-5.65909078	0.88281602
2_AE_Ara	30667659	66	TESS-SPOC	200	9.9289999	4466.8310546875	0.1396903289626042	0.0	9.68350986120525	-1.6066723177596804	2.2207896753738527	6.885580377030364	Merc	1	0	1	-999.0	-999.0	0	2.797929484174886	6.213612910879676	3.8673803252824097	-2.05047721	-5.73709064	0.92412013
2_IV_Vir	46022938	64	SPOC	120	9.34029961	788.5807495117188	0.1392818978163221	0.0	8.093949193342233	-1.212084046730244	1.3630007970050728	5.451876016971773	Merc	1	1	1	-5.1697004	-4.1463946	1	2.6420731763704604	3.601147845138662	2.9710380685673003	-1.23890408	-3.27327523	0.99643338
2_IV_Vir	46022938	64	TESS-SPOC	200	9.34029961	742.1261596679688	0.0825795725801975	0.0	7.993524918800966	-1.6044741977025634	1.811002572311436	5.362102763797494	Merc	1	0	1	-5.1697004	-4.1463946	1	2.631422155003472	4.76551229154859	2.970139562463701	-1.64418061	-4.3265333	0.99495453
2_RW_Hya	58761688	37	SPOC	120	7.2256999	411.8840637207031	0.1090648209489093	0.0	7.606410797550018	-1.3520747910957445	1.6619130252760816	4.93604252134271	Merc	1	0	1	-5.2243001	-6.2164955	1	2.6703682762073084	4.437919820512963	3.2823035010632786	-1.51522696	-4.04621401	0.99930894
